"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Takeda,M.","Kobune,F.",1999,"Submitted (04-JAN-1999) Makoto Takeda, National Institute	Infectious Disease, Viral Disease and Vaccine Control; Gakuen	4-7-1, Musashimurayama, Tokyo 208-0011, Japan	(E-mail:m-takeda@nih.go.jp, Tel:81-42-561-0771(ex.325),	Fax:81-42-561-7746)","Measles morbillivirus","Viruses",11234
"11","Kubota,S.","Sasaki,O.",1999,"Submitted (11-JAN-1999) Shuichi Kubota, Division of Veterinary	Microbiology; 24-16 Makishima-cho, Uji, Kyoto 611, Japan	(Tel:81-774-22-4518, Fax:81-744-24-1407)","Porcine epidemic diarrhea virus","Viruses",28295
"2","Kubota,S.","Yasuhara,H.",1999,"Submitted (11-JAN-1999) Shuichi Kubota, Division of Veterinary	Microbiology; 24-16 Makishima-cho, Uji, Kyoto 611, Japan	(Tel:81-774-22-4518, Fax:81-744-24-1407)","Porcine epidemic diarrhea virus","Viruses",28295
"145","Sasaki,O.","Yasuhara,H.",1999,"Submitted (11-JAN-1999) Shuichi Kubota, Division of Veterinary	Microbiology; 24-16 Makishima-cho, Uji, Kyoto 611, Japan	(Tel:81-774-22-4518, Fax:81-744-24-1407)","Porcine epidemic diarrhea virus","Viruses",28295
"12","Takashima,I.","Hayasaka,D.",1999,"Submitted (12-JAN-1999) Daisuke Hayasaka, Hokkaido University,	Graduate School of Veterinary Medicine; Kitaku Kita-18 Nishi-9,	Sapporo, Hokkaido 060-0818, Japan	(E-mail:dhaya@vetmed.hokudai.ac.jp, Tel:81-11-706-5213,	Fax:81-11-706-5213)","Tick-borne encephalitis virus","Viruses",11084
"13","Hiramatsu,S.","Yamada,T.",1999,"Submitted (13-JAN-1999) Shingo Hiramatsu, Hiroshima University,	Department of Molecular Biotechnology; Kagamiyama 1-4-1,	Higashi-Hiroshima, Hiroshima 739-8527, Japan	(E-mail:shiramat@ipc.hiroshima-u.ac.jp, Tel:81-824-24-7750,	Fax:81-824-24-7752)","Chlorella virus","Viruses",10507
"14","Fuji,S.","Mitobe,I.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"21","Fuji,S.","Nakamae,H.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"3","Fuji,S.","Natuaki,K.T.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"1451","Mitobe,I.","Nakamae,H.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"146","Mitobe,I.","Natuaki,K.T.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"288","Nakamae,H.","Natuaki,K.T.",1999,"Submitted (05-JAN-1999) Shin-ichi Fuji, Aichi-ken Agricultural	Reserch Center, Biotechnology Division; 1-1 Sagamine Yazako,	Nagakute, Aichi 480-1193, Japan	(E-mail:sfuji@agri-rc.pref.aichi.jp, Tel:81-561-62-0085,	Fax:81-561-63-0815)","Yam mild mosaic virus","Viruses",87097
"15","Takashima,I.","Hayasaka,D.",1999,"Submitted (22-JAN-1999) Daisuke Hayasaka, Hokkaido University,	Graduate School of Veterinary Medicine; Kitaku Kita-18 Nishi-9,	Sapporo, Hokkaido 060-0818, Japan	(E-mail:dhaya@vetmed.hokudai.ac.jp, Tel:81-11-706-5213,	Fax:81-11-706-5213)","Tick-borne encephalitis virus","Viruses",11084
"16","Araki,K.","Kobayashi,M.",1999,"Submitted (02-FEB-1999) Kazuko Araki, Teikyo University School of	Medicine, Laboratory Medicine; Kaga 2-11-1, Itabashi, Tokyo	173-8606, Japan (E-mail:varaki@med.teikyo-u.ac.jp,	Tel:81-3-3964-1211(ex.3643), Fax:81-3-3964-3536)","Norwalk-like virus","Viruses",95340
"17","Inami,T.","Abe,K.",1999,"Submitted (03-FEB-1999) Tomoko Inami, National Institute of	Infectious Diseases, Department of Pathology; Toyama 1-23-1,	Shinjuku-ku, Tokyo 162-8640, Japan (E-mail:tinami@nih.go.jp,	Tel:81-3-5285-1111(ex.2624), Fax:81-3-5285-1189)","Torque teno virus","Viruses",68887
"18","Takeuchi,S.","Itoh,N.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"22","Takeuchi,S.","Uchio,E.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"31","Takeuchi,S.","Aoki,K.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"4","Takeuchi,S.","Ohno,S.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"1452","Itoh,N.","Uchio,E.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
