"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Suzuki,N.","Tanimura,M.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"2","Suzuki,N.","Watanabe,Y.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"3","Suzuki,N.","Kusano,T.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"4","Suzuki,N.","Kitagawa,Y.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"5","Suzuki,N.","Suda,N.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"6","Suzuki,N.","Kudo,H.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"7","Suzuki,N.","Uyeda,I.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"8","Suzuki,N.","Shikata,E.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"145","Tanimura,M.","Watanabe,Y.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"146","Tanimura,M.","Kusano,T.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"147","Tanimura,M.","Kitagawa,Y.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"148","Tanimura,M.","Suda,N.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
"149","Tanimura,M.","Kudo,H.",1992,"Submitted (06-JAN-1992) Contact:Nobuhiro Suzuki Akita Prefectural	College of Agriculture, Biotechnology Institute; 2-2 Minami,	Ohgatamura, Minamiakita-gun, Akita 010-0444, Japan","Rice dwarf virus","Viruses",10991
